Date,Open,High,Low,Close,Adj Close,Volume
1998-10-19,1504.400024,1504.400024,1504.400024,1504.400024,1504.400024,0
1998-10-20,1492.400024,1492.400024,1492.400024,1492.400024,1492.400024,0
1998-10-21,1472.900024,1472.900024,1472.900024,1472.900024,1472.900024,0
1998-10-22,1460.800049,1460.800049,1460.800049,1460.800049,1460.800049,0
1998-10-25,null,null,null,null,null,null
1998-10-26,1470.000000,1470.000000,1470.000000,1470.000000,1470.000000,0
1998-10-27,1483.400024,1483.400024,1483.400024,1483.400024,1483.400024,0
1998-10-28,1480.400024,1480.400024,1480.400024,1480.400024,1480.400024,0
1998-10-29,1478.099976,1478.099976,1478.099976,1478.099976,1478.099976,0
1998-11-01,null,null,null,null,null,null
1998-11-02,1526.800049,1526.800049,1526.800049,1526.800049,1526.800049,0
1998-11-03,1515.800049,1515.800049,1515.800049,1515.800049,1515.800049,0
1998-11-04,1498.300049,1498.300049,1498.300049,1498.300049,1498.300049,0
1998-11-05,1504.800049,1504.800049,1504.800049,1504.800049,1504.800049,0
1998-11-08,null,null,null,null,null,null
1998-11-09,1492.199951,1492.199951,1492.199951,1492.199951,1492.199951,0
1998-11-10,1479.500000,1479.500000,1479.500000,1479.500000,1479.500000,0
1998-11-11,1479.800049,1479.800049,1479.800049,1479.800049,1479.800049,0
1998-11-12,1475.300049,1475.300049,1475.300049,1475.300049,1475.300049,0
1998-11-15,null,null,null,null,null,null
1998-11-16,1482.599976,1482.599976,1482.599976,1482.599976,1482.599976,0
1998-11-17,1487.800049,1487.800049,1487.800049,1487.800049,1487.800049,0
1998-11-18,1489.900024,1489.900024,1489.900024,1489.900024,1489.900024,0
1998-11-19,1484.400024,1484.400024,1484.400024,1484.400024,1484.400024,0
1998-11-22,null,null,null,null,null,null
1998-11-23,1479.800049,1479.800049,1479.800049,1479.800049,1479.800049,0
1998-11-24,1479.000000,1479.000000,1479.000000,1479.000000,1479.000000,0
1998-11-25,1477.500000,1477.500000,1477.500000,1477.500000,1477.500000,0
1998-11-26,1471.000000,1471.000000,1471.000000,1471.000000,1471.000000,0
1998-11-29,null,null,null,null,null,null
1998-11-30,1454.099976,1454.099976,1454.099976,1454.099976,1454.099976,0
1998-12-01,1468.500000,1468.500000,1468.500000,1468.500000,1468.500000,0
1998-12-02,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1998-12-03,1438.800049,1438.800049,1438.800049,1438.800049,1438.800049,0
1998-12-06,null,null,null,null,null,null
1998-12-07,1373.099976,1373.099976,1373.099976,1373.099976,1373.099976,0
1998-12-08,1326.599976,1326.599976,1326.599976,1326.599976,1326.599976,0
1998-12-09,1345.699951,1345.699951,1345.699951,1345.699951,1345.699951,0
1998-12-10,1355.900024,1355.900024,1355.900024,1355.900024,1355.900024,0
1998-12-13,null,null,null,null,null,null
1998-12-14,1365.099976,1365.099976,1365.099976,1365.099976,1365.099976,0
1998-12-15,1360.199951,1360.199951,1360.199951,1360.199951,1360.199951,0
1998-12-16,1359.000000,1359.000000,1359.000000,1359.000000,1359.000000,0
1998-12-17,1347.800049,1347.800049,1347.800049,1347.800049,1347.800049,0
1998-12-20,null,null,null,null,null,null
1998-12-21,1371.099976,1371.099976,1371.099976,1371.099976,1371.099976,0
1998-12-22,1396.900024,1396.900024,1396.900024,1396.900024,1396.900024,0
1998-12-23,1413.599976,1413.599976,1413.599976,1413.599976,1413.599976,0
1998-12-24,1426.599976,1426.599976,1426.599976,1426.599976,1426.599976,0
1998-12-27,null,null,null,null,null,null
1998-12-28,1413.500000,1413.500000,1413.500000,1413.500000,1413.500000,0
1998-12-29,1401.800049,1401.800049,1401.800049,1401.800049,1401.800049,0
1998-12-30,1403.300049,1403.300049,1403.300049,1403.300049,1403.300049,0
1998-12-31,1413.099976,1413.099976,1413.099976,1413.099976,1413.099976,0
1999-01-03,null,null,null,null,null,null
1999-01-04,1431.000000,1431.000000,1431.000000,1431.000000,1431.000000,0
1999-01-05,1437.300049,1437.300049,1437.300049,1437.300049,1437.300049,0
1999-01-06,1449.500000,1449.500000,1449.500000,1449.500000,1449.500000,0
1999-01-07,1451.300049,1451.300049,1451.300049,1451.300049,1451.300049,0
1999-01-10,null,null,null,null,null,null
1999-01-11,1451.500000,1451.500000,1451.500000,1451.500000,1451.500000,0
1999-01-12,1444.300049,1444.300049,1444.300049,1444.300049,1444.300049,0
1999-01-13,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-14,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-17,null,null,null,null,null,null
1999-01-18,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-19,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-20,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-21,1442.000000,1442.000000,1442.000000,1442.000000,1442.000000,0
1999-01-24,null,null,null,null,null,null
